,element,drug
0,Ru,0
1,Re,0
2,Rf,0
3,Ra,0
4,Rb,32
5,Rn,0
6,Rh,0
7,Be,17
8,Ba,3
9,Bh,0
10,Bi,0
11,Bk,0
12,Br,431
13,H,237931
14,P,622
15,Os,0
16,Es,0
17,Hg,0
18,Ge,0
19,Gd,0
20,Ga,0
21,Pr,0
22,Pt,0
23,Pu,0
24,C,179664
25,Pb,0
26,Pa,0
27,Pd,0
28,Cd,0
29,Po,0
30,Pm,0
31,Hs,0
32,Ho,0
33,Hf,0
34,K,78
35,He,0
36,Md,0
37,Mg,64
38,Mo,0
39,Mn,0
40,O,55422
41,Mt,0
42,S,3740
43,W,0
44,Zn,0
45,Eu,0
46,Zr,0
47,Er,0
48,Ni,0
49,No,0
50,Na,166
51,Nb,0
52,Nd,0
53,Ne,0
54,Np,0
55,Fr,0
56,Fe,0
57,Fm,0
58,B,160
59,F,2459
60,Sr,9
61,N,31521
62,Kr,0
63,Si,88
64,Sn,0
65,Sm,0
66,V,0
67,Sc,0
68,Sb,0
69,Sg,0
70,Se,33
71,Co,0
72,Cm,0
73,Cl,2644
74,Ca,56
75,Cf,0
76,Ce,0
77,Xe,2
78,Lu,0
79,Cs,24
80,Cr,0
81,Cu,0
82,La,0
83,Li,35
84,Tl,0
85,Tm,0
86,Lr,0
87,Th,0
88,Ti,0
89,Te,16
90,Tb,0
91,Tc,0
92,Ta,0
93,Yb,0
94,Db,0
95,Dy,0
96,I,476
97,U,0
98,Y,0
99,Ac,0
100,Ag,0
101,Ir,0
102,Am,0
103,Al,0
104,As,20
105,Ar,0
106,Au,0
107,At,0
108,In,0
